"","FireName","TimeStep","id","time","temp","rh","prec","wd","ws","fueltype","lat","long","tz_loc","mon","day","hr","yr","percent_cured","minute","date","timestamp","timezone","solrad","sunrise","sunset","sunlight_hours","mcffmc","ffmc","dmc","dc","isi","bui","fwi","dsr","mcgfmc","gfmc","gsi","Accel","cc","ID","CFB","CFC","FD","HFI","RAZ","ROS","SFC","TFC","BE","SF","ISI","FFMC","FMC","D0","RSO","CSI","FROS","BROS","HROSt","FROSt","BROSt","FCFB","BCFB","FFI","BFI","FTFC","BTFC","TI","FTI","BTI","LB","LBt","WSV","DH","DB","DF","TROS","TROSt","TCFB","TFI","TTFC","TTI","mgROS","DT","mgHFI","A","deltaA","MW","MWfrp","MWconv","Bflux","zHfluxm","ReportedFinalArea","TimetoFirstWarning","TimetoFirstAlert"
"1","RC-01",1,"FLNRO-WMB 394 ROCK CREEK",2024-09-19 11:00:00,22.8,54,0,283,5,"O-1b",49.054,-118.98133,"America/Los_Angeles",9,19,0.166666666666667,2024,100,0,2024-09-19,2024-09-19 11:00:00,-8,0.619605395836271,5.60618985333912,18.0529145955417,12.4467247422026,22.0747681386134,83.5001420357583,22.912628787096,69.947394236468,1.47368391787721,25.1936131618405,2.53236695312091,0.140867579505699,18.0229746115941,83.5001420357583,1.74634710169178,0,100,"FLNRO-WMB 394 ROCK CREEK",0,0,"S",162.694857542278,106.631167799697,1.54947483373598,0.35,0.35,1,1.02784048674713,1.47368391787721,83.5001420357583,0,0,0,0,0.611188944956121,1.31008660367841,1.54947483373598,0.611188944956121,1.31008660367841,0,0,64.1748392203927,137.559093386233,0.35,0.35,0,0,0,2.33934322684754,2.33934322684754,5.08455227881841,15.4947483373598,13.1008660367841,6.11188944956121,1.33891576668631,1.33891576668631,0,140.586155502062,0.35,0,1.5732856771998,29.0350443557027,0.165194996105979,0.0283035508078717,0.0283035508078717,2.97187283482653,0.45469654372846,1.5453738741098,39.4402643292454,143.072385034467,75,243,613
"2","RC-01",2,"FLNRO-WMB 394 ROCK CREEK",2024-09-19 11:00:00,22.8,54,0,283,5,"O-1b",49.054,-118.98133,"America/Los_Angeles",9,19,0.333333333333333,2024,100,0,2024-09-19,2024-09-19 11:00:00,-8,0.619605395836271,5.60618985333912,18.0529145955417,12.4467247422026,22.0747681386134,83.5001420357583,22.912628787096,69.947394236468,1.47368391787721,25.1936131618405,2.53236695312091,0.140867579505699,18.0229746115941,83.5001420357583,1.74634710169178,0,100,"FLNRO-WMB 394 ROCK CREEK",0,0,"S",162.694857542278,106.631167799697,1.54947483373598,0.35,0.35,1,1.02784048674713,1.47368391787721,83.5001420357583,0,0,0,0,0.611188944956121,1.31008660367841,1.54947483373598,0.611188944956121,1.31008660367841,0,0,64.1748392203927,137.559093386233,0.35,0.35,0,0,0,2.33934322684754,2.33934322684754,5.08455227881841,30.9894966747196,26.2017320735681,12.2237788991224,1.33891576668631,1.33891576668631,0,140.586155502062,0.35,0,1.5732856771998,58.0700887114054,0.165194996105979,0.113214203231487,0.0849106524236152,8.9156185044796,1.36408963118538,4.63612162232939,118.320792987736,206.346085838816,75,243,613
"3","RC-01",3,"FLNRO-WMB 394 ROCK CREEK",2024-09-19 12:00:00,24.6,44,0,309,6.9,"O-1b",49.054,-118.98133,"America/Los_Angeles",9,19,0.5,2024,100,0,2024-09-19,2024-09-19 12:00:00,-8,0.633367701181252,5.60618985333912,18.0529145955417,12.4467247422026,19.1788406306295,86.5379811402322,23.218455987096,70.5038942364681,2.14584937584417,25.4685512202644,4.03507191735256,0.321311055588443,14.5843589646545,86.5379811402322,9.72415001109024,0,100,"FLNRO-WMB 394 ROCK CREEK",0,0,"S",302.142808789651,142.489735245077,2.87755055990144,0.35,0.35,1,1.2405548392721,2.14584937584417,86.5379811402322,0,0,0,0,0.793720287020761,1.9140304629761,2.87755055990144,0.793720287020761,1.9140304629761,0,0,83.3406301371799,200.973198612491,0.35,0.35,0,0,0,3.01843174556039,3.01843174556039,8.80649672844549,86.3265167970433,57.4209138892831,23.8116086106228,0.115030722841493,0.115030722841493,0,12.0782258983567,0.35,0,8.7604955054867,203.946323172884,0.919852028076104,1.08228161676548,0.969067413533997,101.75207842107,15.5680679984237,52.9110807789562,1342.20275691611,416.442991953646,75,243,613
"4","RC-01",4,"FLNRO-WMB 394 ROCK CREEK",2024-09-19 12:00:00,24.6,44,0,309,6.9,"O-1b",49.054,-118.98133,"America/Los_Angeles",9,19,0.666666666666667,2024,100,0,2024-09-19,2024-09-19 12:00:00,-8,0.633367701181252,5.60618985333912,18.0529145955417,12.4467247422026,19.1788406306295,86.5379811402322,23.218455987096,70.5038942364681,2.14584937584417,25.4685512202644,4.03507191735256,0.321311055588443,14.5843589646545,86.5379811402322,9.72415001109024,0,100,"FLNRO-WMB 394 ROCK CREEK",0,0,"S",302.142808789651,142.489735245077,2.87755055990144,0.35,0.35,1,1.2405548392721,2.14584937584417,86.5379811402322,0,0,0,0,0.793720287020761,1.9140304629761,2.87755055990144,0.793720287020761,1.9140304629761,0,0,83.3406301371799,200.973198612491,0.35,0.35,0,0,0,3.01843174556039,3.01843174556039,8.80649672844549,115.102022396058,76.5612185190441,31.7488114808304,0.115030722841493,0.115030722841493,0,12.0782258983567,0.35,0,8.7604955054867,349.822557634362,0.919852028076104,3.18422789750943,2.10194628074394,220.704359478114,33.7677670001514,114.766266928619,2911.29188073262,539.06950619134,75,243,613
"5","RC-01",5,"FLNRO-WMB 394 ROCK CREEK",2024-09-19 12:00:00,24.6,44,0,309,6.9,"O-1b",49.054,-118.98133,"America/Los_Angeles",9,19,0.833333333333333,2024,100,0,2024-09-19,2024-09-19 12:00:00,-8,0.633367701181252,5.60618985333912,18.0529145955417,12.4467247422026,19.1788406306295,86.5379811402322,23.218455987096,70.5038942364681,2.14584937584417,25.4685512202644,4.03507191735256,0.321311055588443,14.5843589646545,86.5379811402322,9.72415001109024,0,100,"FLNRO-WMB 394 ROCK CREEK",0,0,"S",302.142808789651,142.489735245077,2.87755055990144,0.35,0.35,1,1.2405548392721,2.14584937584417,86.5379811402322,0,0,0,0,0.793720287020761,1.9140304629761,2.87755055990144,0.793720287020761,1.9140304629761,0,0,83.3406301371799,200.973198612491,0.35,0.35,0,0,0,3.01843174556039,3.01843174556039,8.80649672844549,143.877527995072,95.7015231488051,39.686014351038,0.115030722841493,0.115030722841493,0,12.0782258983567,0.35,0,8.7604955054867,495.69879209584,0.919852028076104,6.39358204858462,3.20935415107519,336.982185862895,51.558274437023,175.230736648705,4445.10250714583,620.740539537168,75,243,613
"6","RC-01",6,"FLNRO-WMB 394 ROCK CREEK",2024-09-19 12:00:00,24.6,44,0,309,6.9,"O-1b",49.054,-118.98133,"America/Los_Angeles",9,19,1,2024,100,0,2024-09-19,2024-09-19 12:00:00,-8,0.633367701181252,5.60618985333912,18.0529145955417,12.4467247422026,19.1788406306295,86.5379811402322,23.218455987096,70.5038942364681,2.14584937584417,25.4685512202644,4.03507191735256,0.321311055588443,14.5843589646545,86.5379811402322,9.72415001109024,0,100,"FLNRO-WMB 394 ROCK CREEK",0,0,"S",302.142808789651,142.489735245077,2.87755055990144,0.35,0.35,1,1.2405548392721,2.14584937584417,86.5379811402322,0,0,0,0,0.793720287020761,1.9140304629761,2.87755055990144,0.793720287020761,1.9140304629761,0,0,83.3406301371799,200.973198612491,0.35,0.35,0,0,0,3.01843174556039,3.01843174556039,8.80649672844549,172.653033594087,114.841827778566,47.6232172212456,0.115030722841493,0.115030722841493,0,12.0782258983567,0.35,0,8.7604955054867,641.575026557319,0.919852028076104,10.7103440699911,4.31676202140644,453.260012247676,69.3487818738945,235.695206368792,5978.91313355904,685.209849505407,75,243,613
"7","RC-01",7,"FLNRO-WMB 394 ROCK CREEK",2024-09-19 12:00:00,24.6,44,0,309,6.9,"O-1b",49.054,-118.98133,"America/Los_Angeles",9,19,1.16666666666667,2024,100,0,2024-09-19,2024-09-19 12:00:00,-8,0.633367701181252,5.60618985333912,18.0529145955417,12.4467247422026,19.1788406306295,86.5379811402322,23.218455987096,70.5038942364681,2.14584937584417,25.4685512202644,4.03507191735256,0.321311055588443,14.5843589646545,86.5379811402322,9.72415001109024,0,100,"FLNRO-WMB 394 ROCK CREEK",0,0,"S",302.142808789651,142.489735245077,2.87755055990144,0.35,0.35,1,1.2405548392721,2.14584937584417,86.5379811402322,0,0,0,0,0.793720287020761,1.9140304629761,2.87755055990144,0.793720287020761,1.9140304629761,0,0,83.3406301371799,200.973198612491,0.35,0.35,0,0,0,3.01843174556039,3.01843174556039,8.80649672844549,201.428539193101,133.982132408327,55.5604200914533,0.115030722841493,0.115030722841493,0,12.0782258983567,0.35,0,8.7604955054867,787.451261018797,0.919852028076104,16.1345139617288,5.42416989173769,569.537838632458,87.139289310766,296.159676088878,7512.72375997224,739.404329618049,75,243,613
"8","RC-01",8,"FLNRO-WMB 394 ROCK CREEK",2024-09-19 12:00:00,24.6,44,0,309,6.9,"O-1b",49.054,-118.98133,"America/Los_Angeles",9,19,1.33333333333333,2024,100,0,2024-09-19,2024-09-19 12:00:00,-8,0.633367701181252,5.60618985333912,18.0529145955417,12.4467247422026,19.1788406306295,86.5379811402322,23.218455987096,70.5038942364681,2.14584937584417,25.4685512202644,4.03507191735256,0.321311055588443,14.5843589646545,86.5379811402322,9.72415001109024,0,100,"FLNRO-WMB 394 ROCK CREEK",0,0,"S",302.142808789651,142.489735245077,2.87755055990144,0.35,0.35,1,1.2405548392721,2.14584937584417,86.5379811402322,0,0,0,0,0.793720287020761,1.9140304629761,2.87755055990144,0.793720287020761,1.9140304629761,0,0,83.3406301371799,200.973198612491,0.35,0.35,0,0,0,3.01843174556039,3.01843174556039,8.80649672844549,230.204044792115,153.122437038088,63.4976229616609,0.115030722841493,0.115030722841493,0,12.0782258983567,0.35,0,8.7604955054867,933.327495480275,0.919852028076104,22.6660917237977,6.53157776206895,685.815665017239,104.929796747638,356.624145808964,9046.53438638545,786.641634637198,75,243,613
"9","RC-01",9,"FLNRO-WMB 394 ROCK CREEK",2024-09-19 13:00:00,24.3,37,0,358,5.5,"O-1b",49.054,-118.98133,"America/Los_Angeles",9,19,1.5,2024,100,0,2024-09-19,2024-09-19 13:00:00,-8,0.605478341183093,5.60618985333912,18.0529145955417,12.4467247422026,16.7134168194722,88.2350592845208,23.558315787096,71.0558942364681,2.64469963814205,25.7627627013655,5.06922209483999,0.48118827770886,12.7249716243069,88.2350592845208,8.58758443312428,0,100,"FLNRO-WMB 394 ROCK CREEK",0,0,"S",424.793770227477,178.590995089731,4.0456549545474,0.35,0.35,1,1.20404912510654,2.64469963814205,88.2350592845208,0,0,0,0,1.25099715007376,3.09551206971483,4.0456549545474,1.25099715007376,3.09551206971483,0,0,131.354700757745,325.028767320057,0.35,0.35,0,0,0,2.8541899651175,2.8541899651175,7.80612953591747,364.108945909266,278.596086274335,112.589743506638,0.140063094677517,0.140063094677517,0,14.7066249411393,0.35,0,7.73656255236421,1069.88903125333,0.812339067998243,31.4981086396445,8.83201691584683,927.361776163917,141.886351753079,482.228123605237,12245.0918310205,938.495796436006,75,243,613
"10","RC-01",10,"FLNRO-WMB 394 ROCK CREEK",2024-09-19 13:00:00,24.3,37,0,358,5.5,"O-1b",49.054,-118.98133,"America/Los_Angeles",9,19,1.66666666666667,2024,100,0,2024-09-19,2024-09-19 13:00:00,-8,0.605478341183093,5.60618985333912,18.0529145955417,12.4467247422026,16.7134168194722,88.2350592845208,23.558315787096,71.0558942364681,2.64469963814205,25.7627627013655,5.06922209483999,0.48118827770886,12.7249716243069,88.2350592845208,8.58758443312428,0,100,"FLNRO-WMB 394 ROCK CREEK",0,0,"S",424.793770227477,178.590995089731,4.0456549545474,0.35,0.35,1,1.20404912510654,2.64469963814205,88.2350592845208,0,0,0,0,1.25099715007376,3.09551206971483,4.0456549545474,1.25099715007376,3.09551206971483,0,0,131.354700757745,325.028767320057,0.35,0.35,0,0,0,2.8541899651175,2.8541899651175,7.80612953591747,404.56549545474,309.551206971483,125.099715007376,0.140063094677517,0.140063094677517,0,14.7066249411393,0.35,0,7.73656255236421,1206.45056702638,0.812339067998243,40.0521717869067,8.55406314726222,898.176630462533,137.421024460768,467.051847840517,11859.7246545843,928.545490107205,75,243,613
"11","RC-01",11,"FLNRO-WMB 394 ROCK CREEK",2024-09-19 13:00:00,24.3,37,0,358,5.5,"O-1b",49.054,-118.98133,"America/Los_Angeles",9,19,1.83333333333333,2024,100,0,2024-09-19,2024-09-19 13:00:00,-8,0.605478341183093,5.60618985333912,18.0529145955417,12.4467247422026,16.7134168194722,88.2350592845208,23.558315787096,71.0558942364681,2.64469963814205,25.7627627013655,5.06922209483999,0.48118827770886,12.7249716243069,88.2350592845208,8.58758443312428,0,100,"FLNRO-WMB 394 ROCK CREEK",0,0,"S",424.793770227477,178.590995089731,4.0456549545474,0.35,0.35,1,1.20404912510654,2.64469963814205,88.2350592845208,0,0,0,0,1.25099715007376,3.09551206971483,4.0456549545474,1.25099715007376,3.09551206971483,0,0,131.354700757745,325.028767320057,0.35,0.35,0,0,0,2.8541899651175,2.8541899651175,7.80612953591747,445.022045000215,340.506327668632,137.609686508113,0.140063094677517,0.140063094677517,0,14.7066249411393,0.35,0,7.73656255236421,1343.01210279943,0.812339067998243,49.6325809164404,9.58040912953361,1005.94295860103,153.909272665957,523.090338472535,13282.6952991221,964.288645533322,75,243,613
"12","RC-01",12,"FLNRO-WMB 394 ROCK CREEK",2024-09-19 13:00:00,24.3,37,0,358,5.5,"O-1b",49.054,-118.98133,"America/Los_Angeles",9,19,2,2024,100,0,2024-09-19,2024-09-19 13:00:00,-8,0.605478341183093,5.60618985333912,18.0529145955417,12.4467247422026,16.7134168194722,88.2350592845208,23.558315787096,71.0558942364681,2.64469963814205,25.7627627013655,5.06922209483999,0.48118827770886,12.7249716243069,88.2350592845208,8.58758443312428,0,100,"FLNRO-WMB 394 ROCK CREEK",0,0,"S",424.793770227477,178.590995089731,4.0456549545474,0.35,0.35,1,1.20404912510654,2.64469963814205,88.2350592845208,0,0,0,0,1.25099715007376,3.09551206971483,4.0456549545474,1.25099715007376,3.09551206971483,0,0,131.354700757745,325.028767320057,0.35,0.35,0,0,0,2.8541899651175,2.8541899651175,7.80612953591747,485.478594545689,371.46144836578,150.119658008851,0.140063094677517,0.140063094677517,0,14.7066249411393,0.35,0,7.73656255236421,1479.57363857249,0.812339067998243,60.2393360282453,10.606755111805,1113.70928673952,170.397520871147,579.12882910455,14705.66594366,997.561964199063,75,243,613
"13","RC-01",13,"FLNRO-WMB 394 ROCK CREEK",2024-09-19 13:00:00,24.3,37,0,358,5.5,"O-1b",49.054,-118.98133,"America/Los_Angeles",9,19,2.16666666666667,2024,100,0,2024-09-19,2024-09-19 13:00:00,-8,0.605478341183093,5.60618985333912,18.0529145955417,12.4467247422026,16.7134168194722,88.2350592845208,23.558315787096,71.0558942364681,2.64469963814205,25.7627627013655,5.06922209483999,0.48118827770886,12.7249716243069,88.2350592845208,8.58758443312428,0,100,"FLNRO-WMB 394 ROCK CREEK",0,0,"S",424.793770227477,178.590995089731,4.0456549545474,0.35,0.35,1,1.20404912510654,2.64469963814205,88.2350592845208,0,0,0,0,1.25099715007376,3.09551206971483,4.0456549545474,1.25099715007376,3.09551206971483,0,0,131.354700757745,325.028767320057,0.35,0.35,0,0,0,2.8541899651175,2.8541899651175,7.80612953591747,525.935144091163,402.416569062928,162.629629509589,0.140063094677517,0.140063094677517,0,14.7066249411393,0.35,0,7.73656255236421,1616.13517434554,0.812339067998243,71.8724371223217,11.6331010940764,1221.47561487802,186.885769076337,635.16731973657,16128.6365881979,1028.75241662623,75,243,613
"14","RC-01",14,"FLNRO-WMB 394 ROCK CREEK",2024-09-19 13:00:00,24.3,37,0,358,5.5,"O-1b",49.054,-118.98133,"America/Los_Angeles",9,19,2.33333333333333,2024,100,0,2024-09-19,2024-09-19 13:00:00,-8,0.605478341183093,5.60618985333912,18.0529145955417,12.4467247422026,16.7134168194722,88.2350592845208,23.558315787096,71.0558942364681,2.64469963814205,25.7627627013655,5.06922209483999,0.48118827770886,12.7249716243069,88.2350592845208,8.58758443312428,0,100,"FLNRO-WMB 394 ROCK CREEK",0,0,"S",424.793770227477,178.590995089731,4.0456549545474,0.35,0.35,1,1.20404912510654,2.64469963814205,88.2350592845208,0,0,0,0,1.25099715007376,3.09551206971483,4.0456549545474,1.25099715007376,3.09551206971483,0,0,131.354700757745,325.028767320057,0.35,0.35,0,0,0,2.8541899651175,2.8541899651175,7.80612953591747,566.391693636637,433.371689760077,175.139601010326,0.140063094677517,0.140063094677517,0,14.7066249411393,0.35,0,7.73656255236421,1752.69671011859,0.812339067998243,84.5318841986694,12.6594470763477,1329.24194301651,203.374017281526,691.205810368584,17551.6072327357,1058.15822860954,75,243,613
"15","RC-01",15,"FLNRO-WMB 394 ROCK CREEK",2024-09-19 14:00:00,23.7,33,0,324,10.95,"O-1b",49.054,-118.98133,"America/Los_Angeles",9,19,2.5,2024,100,0,2024-09-19,2024-09-19 14:00:00,-8,0.537837929636323,5.60618985333912,18.0529145955417,12.4467247422026,14.5212573130934,89.1959529477865,23.910829587096,71.5988942364681,4.56850156687014,26.0624371734657,8.5087193393461,1.20345134231528,11.6908844242467,89.1959529477865,27.0912003129676,0,100,"FLNRO-WMB 394 ROCK CREEK",0,0,"S",1017.23318398295,160.565583837224,9.68793508555193,0.35,0.35,1,2.08990556122715,4.56850156687014,89.1959529477865,0,0,0,0,1.28541099815829,1.49153123421053,9.68793508555193,1.28541099815829,1.49153123421053,0,0,134.968154806621,156.610779592105,0.35,0.35,0,0,0,4.34859602717735,4.34859602717735,19.3438947952188,1453.19026283279,223.729685131579,192.811649723744,0.135503809617182,0.135503809617182,0,14.2279000098042,0.35,0,24.4064867684393,2034.33721906297,2.56268111068613,74.7457847981832,-9.78609940048614,-1027.54043705104,-157.21368686881,-534.321027266543,-13595.3107836052,NA,75,243,613
